Model_Name,name,Accelerator_Type,tRC(ns),data mov energy(pJ),scope area,LUT Area,Multiplier,Total Number of Multiplications ,Number of Processing Elements,PE Latency (ns),PE Power ,PE Energy(pJ),PE Area ,Total PE Calls,Total Latency(ns),fps,Total Power(W) ,Total Energy ,Total Area,fps_per_w,fps_per_w_per_area
GoogleNet,SC_uMUL,SCOPE,8,35,245.8922093,0.00041943,uMUL,16000000000,65536,656,,109,,244141,160156250,6.243902439,452.1587918,26611369,259.4974829,0.013809092,5.32147E-05
ResNet50,SC_uMUL,SCOPE,8,35,245.8922093,0.00041943,uMUL,3859779584,65536,656,,109,,58896,38635489,25.88293887,452.1597709,6419664,259.4974829,0.057242905,0.000220591
MobvileNet_V2,SC_uMUL,SCOPE,8,35,245.8922093,0.00041943,uMUL,300774272,65536,656,,109,,4590,3010679.969,332.1508797,452.1784066,500310,259.4974829,0.734557146,0.002830691
ShuffleNet_V2,SC_uMUL,SCOPE,8,35,245.8922093,0.00041943,uMUL,485996976,65536,656,,109,,7416,4864715.824,205.5618532,452.1646906,808344,259.4974829,0.454617217,0.001751914
GoogleNet,SC_Gaines,SCOPE,8,35,245.8922093,0.00041943,Gaines,16000000000,65536,656,,148.1,,244141,160156250,6.243902439,511.7625419,36157282.1,270.7106925,0.01220078,4.50694E-05
ResNet50,SC_Gaines,SCOPE,8,35,245.8922093,0.00041943,Gaines,3859779584,65536,656,,148.1,,58896,38635489,25.88293887,511.7638722,8722497.6,270.7106925,0.05057594,0.000186827
MobvileNet_V2,SC_Gaines,SCOPE,8,35,245.8922093,0.00041943,Gaines,300774272,65536,656,,148.1,,4590,3010679.969,332.1508797,511.7891928,679779,270.7106925,0.648999401,0.002397391
ShuffleNet_V2,SC_Gaines,SCOPE,8,35,245.8922093,0.00041943,Gaines,485996976,65536,656,,148.1,,7416,4864715.824,205.5618532,511.7705567,1098309.6,270.7106925,0.401667995,0.001483754
GoogleNet,SC_Najali,SCOPE,8,35,245.8922093,0.00041943,Najafi,16000000000,65536,656,,121.6,,244141,160156250,6.243902439,471.3661384,29687545.6,264.1112173,0.013246396,5.01546E-05
ResNet50,SC_Najali,SCOPE,8,35,245.8922093,0.00041943,Najafi,3859779584,65536,656,,121.6,,58896,38635489,25.88293887,471.3672306,7161753.6,264.1112173,0.054910348,0.000207906
MobvileNet_V2,SC_Najali,SCOPE,8,35,245.8922093,0.00041943,Najafi,300774272,65536,656,,121.6,,4590,3010679.969,332.1508797,471.3880206,558144,264.1112173,0.704623082,0.002667903
ShuffleNet_V2,SC_Najali,SCOPE,8,35,245.8922093,0.00041943,Najafi,485996976,65536,640,,121.6,,7416,4746064.219,210.7008995,476.0070371,901785.6,264.1112173,0.442642405,0.00167597
GoogleNet,SC_Proposed,SCOPE,8,35,245.8922093,0.00041943,Proposed,16000000000,65536,64,,82.96,,244141,15625000,64,1582.251991,20253937.36,265.6840813,0.040448677,0.000152244
ResNet50,SC_Proposed,SCOPE,8,35,245.8922093,0.00041943,Proposed,3859779584,65536,64,,82.96,,58896,3769316,265.3001234,1582.259629,4886012.16,265.6840813,0.167671676,0.000631094
MobvileNet_V2,SC_Proposed,SCOPE,8,35,245.8922093,0.00041943,Proposed,300774272,65536,64,,82.96,,4590,293724.875,3404.546517,1582.405012,380786.4,265.6840813,2.151501349,0.008097969
ShuffleNet_V2,SC_Proposed,SCOPE,8,35,245.8922093,0.00041943,Proposed,485996976,65536,64,,82.96,,7416,474606.4219,2107.008995,1582.29801,615231.36,265.6840813,1.33161325,0.005012017
GoogleNet,AT_uMUL,ATRIA,8,45,22.02441861,0.000838861,uMUL,16000000000,65536,656,,129,,244141,160156250,6.243902439,220.0466435,31494189,35.62969221,0.028375359,0.000796396
ResNet50,AT_uMUL,ATRIA,8,45,22.02441861,0.000838861,uMUL,3859779584,65536,656,,129,,58896,38635489,25.88293887,220.0478022,7597584,35.62969221,0.117624164,0.003301296
MobvileNet_V2,AT_uMUL,ATRIA,8,45,22.02441861,0.000838861,uMUL,300774272,65536,656,,129,,4590,3010679.969,332.1508797,220.0698574,592110,35.62969221,1.509297473,0.042360665
ShuffleNet_V2,AT_uMUL,ATRIA,8,45,22.02441861,0.000838861,uMUL,485996976,65536,656,,129,,7416,4864715.824,205.5618532,220.0536247,956664,35.62969221,0.934144363,0.026218143
GoogleNet,AT_Gaines,ATRIA,8,45,22.02441861,0.000838861,Gaines,16000000000,65536,656,,168.1,,244141,160156250,6.243902439,279.6503936,41040102.1,46.84290181,0.02232753,0.000476647
ResNet50,AT_Gaines,ATRIA,8,45,22.02441861,0.000838861,Gaines,3859779584,65536,656,,168.1,,58896,38635489,25.88293887,279.6519035,9900417.6,46.84290181,0.092554131,0.001975841
MobvileNet_V2,AT_Gaines,ATRIA,8,45,22.02441861,0.000838861,Gaines,300774272,65536,656,,168.1,,4590,3010679.969,332.1508797,279.6806436,771579,46.84290181,1.187607678,0.025352991
ShuffleNet_V2,AT_Gaines,ATRIA,8,45,22.02441861,0.000838861,Gaines,485996976,65536,656,,168.1,,7416,4864715.824,205.5618532,279.6594908,1246629.6,46.84290181,0.735043365,0.01569167
GoogleNet,AT_Najafi,ATRIA,8,45,22.02441861,0.000838861,Najafi,16000000000,65536,656,,141.6,,244141,160156250,6.243902439,239.2539901,34570365.6,40.24342661,0.026097381,0.000648488
ResNet50,AT_Najafi,ATRIA,8,45,22.02441861,0.000838861,Najafi,3859779584,65536,656,,141.6,,58896,38635489,25.88293887,239.255262,8339673.6,40.24342661,0.108181273,0.002688173
MobvileNet_V2,AT_Najafi,ATRIA,8,45,22.02441861,0.000838861,Najafi,300774272,65536,656,,141.6,,4590,3010679.969,332.1508797,239.2794713,649944,40.24342661,1.388129445,0.034493321
ShuffleNet_V2,AT_Najafi,ATRIA,8,45,22.02441861,0.000838861,Najafi,485996976,65536,640,,141.6,,7416,4746064.219,210.7008995,244.6581945,1050105.6,40.24342661,0.86120516,0.021399896
GoogleNet,AT_Proposed,ATRIA,8,45,22.02441861,0.000838861,Proposed,16000000000,65536,64,,102.96,,244141,15625000,64,1632.152471,25136757.36,41.81629061,0.039212023,0.000937721
ResNet50,AT_Proposed,ATRIA,8,45,22.02441861,0.000838861,Proposed,3859779584,65536,64,,102.96,,58896,3769316,265.3001234,1632.16195,6063932.16,41.81629061,0.16254522,0.003887127
MobvileNet_V2,AT_Proposed,ATRIA,8,45,22.02441861,0.000838861,Proposed,300774272,65536,64,,102.96,,4590,293724.875,3404.546517,1632.342382,472586.4,41.81629061,2.085681628,0.049877251
ShuffleNet_V2,AT_Proposed,ATRIA,8,45,22.02441861,0.000838861,Proposed,485996976,65536,48,,102.96,,7416,355954.8164,2809.345327,2168.479445,763551.36,41.81629061,1.295536987,0.030981633
