name,model_name,total_latency,fps,fps_per_w
AMW_PCA_IS(1 Gs/s),GoogLeNet,11.636923008000284,0.085933369097012,3.6823353344818325e-07
AMW_PCA_IS(1 Gs/s),ResNet50,41.29069209599844,0.024218533263503,8.770555108768178e-08
AMW_PCA_IS(1 Gs/s),ShuffleNet_V2,3.775431936000632,0.2648703557504241,1.0397459514260871e-06
AMW_PCA_IS(1 Gs/s),MobileNet_V2,1.9724718080001893,0.5069780951717937,1.935560248425719e-06
AMW_PCA_IS(5 Gs/s),GoogLeNet,5.598796671999822,0.1786098082470303,2.0282783086549934e-07
AMW_PCA_IS(5 Gs/s),ResNet50,19.48940533759998,0.0513099287883734,4.824593702136803e-08
AMW_PCA_IS(5 Gs/s),ShuffleNet_V2,2.1405527551999306,0.4671690513446834,4.898282742219921e-07
AMW_PCA_IS(5 Gs/s),MobileNet_V2,1.2549038592001076,0.7968737944892553,8.350414178824762e-07
AMW_PCA_IS(10 Gs/s),GoogLeNet,4.390579353599834,0.2277603749901708,1.4809614182906048e-07
AMW_PCA_IS(10 Gs/s),ResNet50,15.347635456000814,0.0651566166571285,3.514451961608078e-08
AMW_PCA_IS(10 Gs/s),ShuffleNet_V2,1.8611168255998252,0.5373117830352787,3.279678958750608e-07
AMW_PCA_IS(10 Gs/s),MobileNet_V2,1.072756403200018,0.9321780760450492,5.671085043794636e-07
MAW_PCA_IS(1 Gs/s),GoogLeNet,92.40039420450452,0.010822464650819,3.2452571588889835e-08
MAW_PCA_IS(1 Gs/s),ResNet50,309.23539495146935,0.0032337824722714,9.579352026184836e-09
MAW_PCA_IS(1 Gs/s),ShuffleNet_V2,28.821791311573456,0.0346959697677932,1.0334991069195413e-07
MAW_PCA_IS(1 Gs/s),MobileNet_V2,12.75459770191157,0.0784031000719158,2.3260800391418934e-07
MAW_PCA_IS(5 Gs/s),GoogLeNet,186.6156536546641,0.0053586072787362,4.185499036216303e-09
MAW_PCA_IS(5 Gs/s),ResNet50,638.9647142753576,0.0015650316483189,1.2184478692129719e-09
MAW_PCA_IS(5 Gs/s),ShuffleNet_V2,65.22572633315583,0.0153313739258688,1.1957058776236158e-08
MAW_PCA_IS(5 Gs/s),MobileNet_V2,35.5259932479368,0.0281484037060125,2.1947920848200738e-08
MAW_PCA_IS(10 Gs/s),GoogLeNet,266.60787727319394,0.003750826908146,1.6042547190021034e-09
MAW_PCA_IS(10 Gs/s),ResNet50,918.387581387305,0.0010888648978565,4.649084058368643e-10
MAW_PCA_IS(10 Gs/s),ShuffleNet_V2,88.9076547624118,0.0112476254454389,4.806516175426213e-09
MAW_PCA_IS(10 Gs/s),MobileNet_V2,53.55753630748779,0.0186715086044798,7.979289926143385e-09
HEANA_PCA_IS(1 Gs/s),GoogLeNet,3.798955647999697,0.2632302381646756,2.428572384956365e-06
HEANA_PCA_IS(1 Gs/s),ResNet50,13.88745036800057,0.0720074580647429,4.612606540151633e-07
HEANA_PCA_IS(1 Gs/s),ShuffleNet_V2,1.2274887680000564,0.8146714056123682,6.076407631436658e-06
HEANA_PCA_IS(1 Gs/s),MobileNet_V2,0.512942592000088,1.9495359043996652,1.2476042401242863e-05
HEANA_PCA_IS(5 Gs/s),GoogLeNet,2.0484491007999,0.488174199500251,1.2393779489361533e-06
HEANA_PCA_IS(5 Gs/s),ResNet50,7.155662028800373,0.1397494733506366,2.398094428738409e-07
HEANA_PCA_IS(5 Gs/s),ShuffleNet_V2,0.7419180032001078,1.347857843706056,2.8416451358478177e-06
HEANA_PCA_IS(5 Gs/s),MobileNet_V2,0.3359917568000271,2.9762634938546184,5.715816338143326e-06
HEANA_PCA_IS(10 Gs/s),GoogLeNet,1.6583513088000867,0.6030085390794294,8.090568456569003e-07
HEANA_PCA_IS(10 Gs/s),ResNet50,5.862898329599822,0.1705641039264373,1.6171438520864707e-07
HEANA_PCA_IS(10 Gs/s),ShuffleNet_V2,0.6533481215999705,1.5305776001178684,1.8022937936948187e-06
HEANA_PCA_IS(10 Gs/s),MobileNet_V2,0.3496452608000149,2.8600416253660184,3.232638439674939e-06
AMW_PCA_OS(1 Gs/s),GoogLeNet,11.162462847999528,0.0895859644611685,3.826532804117091e-07
AMW_PCA_OS(1 Gs/s),ResNet50,39.442246656,0.0253535253384933,9.088350729978473e-08
AMW_PCA_OS(1 Gs/s),ShuffleNet_V2,3.5114186239999565,0.2847851843027681,1.105181825839991e-06
AMW_PCA_OS(1 Gs/s),MobileNet_V2,1.8468011520000376,0.5414768119009596,2.042732195926998e-06
AMW_PCA_OS(5 Gs/s),GoogLeNet,4.6415333119998445,0.2154460461190014,2.411487137600295e-07
AMW_PCA_OS(5 Gs/s),ResNet50,15.804318617599042,0.0632738445861526,5.6461834624412664e-08
AMW_PCA_OS(5 Gs/s),ShuffleNet_V2,1.5604378624000064,0.6408457677782607,6.382690543094067e-07
AMW_PCA_OS(5 Gs/s),MobileNet_V2,0.958703308799987,1.0430755697001863,1.0469884521617135e-06
AMW_PCA_OS(1 Gs/s),GoogLeNet,3.1118644736000327,0.3213507556269399,2.029480774122016e-07
AMW_PCA_OS(1 Gs/s),ResNet50,10.440194815999266,0.0957836532386859,4.66201266454867e-08
AMW_PCA_OS(1 Gs/s),ShuffleNet_V2,1.0796302591999525,0.926243027627846,5.171354941719613e-07
AMW_PCA_OS(1 Gs/s),MobileNet_V2,0.6697684479999946,1.4930533126577024,8.416230858655766e-07
MAW_PCA_OS(1 Gs/s),GoogLeNet,92.07507964450956,0.010860701982131,3.2566695577886814e-08
MAW_PCA_OS(1 Gs/s),ResNet50,307.9805930314673,0.0032469578363914,9.617725783886868e-09
MAW_PCA_OS(1 Gs/s),ShuffleNet_V2,28.643749463672243,0.0349116305904107,1.0398502755055877e-07
MAW_PCA_OS(1 Gs/s),MobileNet_V2,12.68639651838489,0.0788245896737358,2.33839363275119e-07
MAW_PCA_OS(5 Gs/s),GoogLeNet,185.93404597467296,0.0053782511683536,4.200825235813532e-09
MAW_PCA_OS(5 Gs/s),ResNet50,636.3376320353602,0.0015714927888225,1.2234561326510024e-09
MAW_PCA_OS(5 Gs/s),ShuffleNet_V2,64.8176134328462,0.0154279052720144,1.2032145978130344e-08
MAW_PCA_OS(5 Gs/s),MobileNet_V2,35.33393708554745,0.028301403197127,2.2066875276429263e-08
MAW_PCA_OS(1 Gs/s),GoogLeNet,265.65061391318443,0.0037643428910983,1.610032226367539e-09
MAW_PCA_OS(1 Gs/s),ResNet50,914.7024946672522,0.0010932516373684,4.667770464335903e-10
MAW_PCA_OS(1 Gs/s),ShuffleNet_V2,88.3274842653819,0.0113215043801709,4.838041298940264e-09
MAW_PCA_OS(1 Gs/s),MobileNet_V2,53.261286005935126,0.0187753634016378,8.023609339056113e-09
HEANA_PCA_OS(1 Gs/s),GoogLeNet,3.637263232000003,0.2749319849061722,2.514370993991337e-06
HEANA_PCA_OS(1 Gs/s),ResNet50,13.253657087999429,0.0754508731711079,4.732840200342994e-07
HEANA_PCA_OS(1 Gs/s),ShuffleNet_V2,1.1615708159998854,0.8609031720026432,6.295533333513749e-06
HEANA_PCA_OS(1 Gs/s),MobileNet_V2,0.5076974080000037,1.9696771822006085,1.2547393600650652e-05
HEANA_PCA_OS(5 Gs/s),GoogLeNet,1.703993420800059,0.5868567259669817,1.436154273129216e-06
HEANA_PCA_OS(5 Gs/s),ResNet50,5.814019788800347,0.1719980385904978,2.674239953587109e-07
HEANA_PCA_OS(5 Gs/s),ShuffleNet_V2,0.550625996799992,1.816114759948825,3.442174387939112e-06
HEANA_PCA_OS(5 Gs/s),MobileNet_V2,0.265485516799984,3.766683817834768,6.5649406106217e-06
HEANA_PCA_OS(1 Gs/s),GoogLeNet,1.1838911487999748,0.8446722496520293,1.060790885848144e-06
HEANA_PCA_OS(1 Gs/s),ResNet50,4.01445288960022,0.2490999464934773,1.98372500870804e-07
HEANA_PCA_OS(1 Gs/s),ShuffleNet_V2,0.3893398783999586,2.568449972578268,2.553385191756664e-06
HEANA_PCA_OS(1 Gs/s),MobileNet_V2,0.2239794431999797,4.464695445765312,4.316718648738962e-06
AMW_PCA_WS(1 Gs/s),GoogLeNet,11.162462847999528,0.0895859644611685,3.8311333105657726e-07
AMW_PCA_WS(1 Gs/s),ResNet50,39.442246656,0.0253535253384933,9.120709054002793e-08
AMW_PCA_WS(1 Gs/s),ShuffleNet_V2,3.5114186239999565,0.2847851843027681,1.1077967839300554e-06
AMW_PCA_WS(1 Gs/s),MobileNet_V2,1.8468011520000376,0.5414768119009596,2.0478088624667574e-06
AMW_PCA_WS(5 Gs/s),GoogLeNet,4.6415333119998445,0.2154460461190014,2.4175124598730025e-07
AMW_PCA_WS(5 Gs/s),ResNet50,15.804318617599042,0.0632738445861526,5.6918838456054996e-08
AMW_PCA_WS(5 Gs/s),ShuffleNet_V2,1.5604378624000064,0.6408457677782607,6.416743490611577e-07
AMW_PCA_WS(5 Gs/s),MobileNet_V2,0.958703308799987,1.0430755697001863,1.0521653095907114e-06
AMW_PCA_WS(10 Gs/s),GoogLeNet,3.1118644736000327,0.3213507556269399,2.037132448131325e-07
AMW_PCA_WS(10 Gs/s),ResNet50,10.440194815999266,0.0957836532386859,4.716452843088358e-08
AMW_PCA_WS(10 Gs/s),ShuffleNet_V2,1.0796302591999525,0.926243027627846,5.210448650204427e-07
AMW_PCA_WS(10 Gs/s),MobileNet_V2,0.6697684479999946,1.4930533126577024,8.474152038711105e-07
MAW_PCA_WS(1 Gs/s),GoogLeNet,92.07507964450956,0.010860701982131,3.2569590542778105e-08
MAW_PCA_WS(1 Gs/s),ResNet50,307.9805930314673,0.0032469578363914,9.620706952231664e-09
MAW_PCA_WS(1 Gs/s),ShuffleNet_V2,28.643749463672243,0.0349116305904107,1.0400638564378566e-07
MAW_PCA_WS(1 Gs/s),MobileNet_V2,12.68639651838489,0.0788245896737358,2.3389214625952045e-07
MAW_PCA_WS(5 Gs/s),GoogLeNet,185.93404597467296,0.0053782511683536,4.200995681898051e-09
MAW_PCA_WS(5 Gs/s),ResNet50,636.3376320353602,0.0015714927888225,1.2236485173633902e-09
MAW_PCA_WS(5 Gs/s),ShuffleNet_V2,64.8176134328462,0.0154279052720144,1.203327036062708e-08
MAW_PCA_WS(5 Gs/s),MobileNet_V2,35.33393708554745,0.028301403197127,2.206887412038107e-08
MAW_PCA_WS(10 Gs/s),GoogLeNet,265.65061391318443,0.0037643428910983,1.6100775248536506e-09
MAW_PCA_WS(10 Gs/s),ResNet50,914.7024946672522,0.0010932516373684,4.668294369010666e-10
MAW_PCA_WS(10 Gs/s),ShuffleNet_V2,88.3274842653819,0.0113215043801709,4.838370363145794e-09
MAW_PCA_WS(10 Gs/s),MobileNet_V2,53.261286005935126,0.0187753634016378,8.02412088340784e-09
HEANA_PCA_WS(1 Gs/s),GoogLeNet,3.637263232000003,0.2749319849061722,2.5193029875548384e-06
HEANA_PCA_WS(1 Gs/s),ResNet50,13.253657087999429,0.0754508731711079,4.75493463043045e-07
HEANA_PCA_WS(1 Gs/s),ShuffleNet_V2,1.1615708159998854,0.8609031720026432,6.31616503858641e-06
HEANA_PCA_WS(1 Gs/s),MobileNet_V2,0.5076974080000037,1.9696771822006085,1.2581680007650985e-05
HEANA_PCA_WS(5 Gs/s),GoogLeNet,1.703993420800059,0.5868567259669817,1.4422308625147911e-06
HEANA_PCA_WS(5 Gs/s),ResNet50,5.814019788800347,0.1719980385904978,2.701517278596822e-07
HEANA_PCA_WS(5 Gs/s),ShuffleNet_V2,0.550625996799992,1.816114759948825,3.468025280300424e-06
HEANA_PCA_WS(5 Gs/s),MobileNet_V2,0.265485516799984,3.766683817834768,6.608304618224409e-06
HEANA_PCA_WS(10 Gs/s),GoogLeNet,1.1838911487999748,0.8446722496520293,1.067210911260284e-06
HEANA_PCA_WS(10 Gs/s),ResNet50,4.01445288960022,0.2490999464934773,2.011878964799487e-07
HEANA_PCA_WS(10 Gs/s),ShuffleNet_V2,0.3893398783999586,2.568449972578268,2.5788001081417414e-06
HEANA_PCA_WS(10 Gs/s),MobileNet_V2,0.2239794431999797,4.464695445765312,4.3579758841912615e-06
