,Name,config,hardware_utilization,total_latency,total_dynamic_energy,total_static_power,fps,totalpower,fps/W,EDP
5,UNIFORM_RECONFIG_FOURTY_NINE,"[{'element_size': 50, 'element_count': 20, 'units_count': 21, 'reconfig': [9, 25]}]",90.65284123,0.007077019,851.3333128,283.4300559,141.3024327,120295.4682,0.001174628,8.31287E-06
6,HYBRID_RECONFIG,"[{'element_size': 9, 'element_count': 20, 'units_count': 7, 'reconfig': []}, {'element_size': 25, 'element_count': 20, 'units_count': 7, 'reconfig': [9]}, {'element_size': 50, 'element_count': 20, 'units_count': 7, 'reconfig': [9, 25]}]",86.70971724,0.012963673,853.6157328,161.4091576,77.13863262,65846.75041,0.001171487,1.51868E-05
4,UNIFORM_RECONFIG_TWENTY_FIVE,"[{'element_size': 25, 'element_count': 20, 'units_count': 21, 'reconfig': [9]}]",73.83951174,0.018126636,857.7162448,144.7699442,55.16743368,47318.00405,0.001165887,2.11336E-05
2,UNIFORM_FOURTY_NINE,"[{'element_size': 49, 'element_count': 20, 'units_count': 21, 'reconfig': []}]",21.2290684,0.032561984,935.9591935,277.8836515,30.71065896,28743.92359,0.001068423,3.479E-05
3,HYBRID,"[{'element_size': 9, 'element_count': 20, 'units_count': 7, 'reconfig': []}, {'element_size': 25, 'element_count': 20, 'units_count': 7, 'reconfig': []}, {'element_size': 50, 'element_count': 20, 'units_count': 7, 'reconfig': []}]",35.07808072,0.032873,891.5951369,161.4091576,30.4201016,27122.41465,0.001121585,3.68699E-05
1,UNIFORM_TWENTY_FIVE,"[{'element_size': 25, 'element_count': 20, 'units_count': 21, 'reconfig': []}]",38.91138228,0.034053486,884.8472597,144.7699442,29.3655691,25984.04334,0.001130139,3.84852E-05
0,UNIFORM_NINE,"[{'element_size': 9, 'element_count': 20, 'units_count': 21, 'reconfig': []}]",99.99999122,0.050654468,859.9337031,56.02747264,19.74159518,16976.46304,0.00116288,5.89051E-05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Name,,,,,,,,,
,UNIFORM_NINE,,,,,,,,,
,UNIFORM_TWENTY_FIVE,,,,,,,,,
,UNIFORM_RECONFIG_FOURTY_NINE,,,,,,,,,
,HYBRID,,,,,,,,,
,UNIFORM_RECONFIG_TWENTY_FIVE,,,,,,,,,
,UNIFORM_RECONFIG_FOURTY_NINE,,,,,,,,,
,HYBRID_RECONFIG,,,,,,,,,
