Parameter,Architecture,Neural_Network,Value
fps_per_w,AMM_BASE,GoogleNet,0.001159847
fps_per_w,AMM_BASE,OverFeatFast,0.00055997
fps_per_w,AMM_BASE,ResNet34,0.000330071
fps_per_w,AMM_BASE,VGG16,4.8745E-05
fps_per_w,CrossLight,GoogleNet,0.003819444
fps_per_w,CrossLight,OverFeatFast,0.000472961
fps_per_w,CrossLight,ResNet34,0.001213827
fps_per_w,CrossLight,VGG16,0.001203983
fps_per_w,HolyLight,GoogleNet,0.000538116
fps_per_w,HolyLight,OverFeatFast,0.000275626
fps_per_w,HolyLight,ResNet34,0.000157138
fps_per_w,HolyLight,VGG16,2.63642E-05
fps_per_w,Reconfig_4_9_16_25,GoogleNet,0.00098205
fps_per_w,Reconfig_4_9_16_25,OverFeatFast,0.000919771
fps_per_w,Reconfig_4_9_16_25,ResNet34,0.000770133
fps_per_w,Reconfig_4_9_16_25,VGG16,0.00012708
fps_per_w,Reconfig_4_9_16_25_MAM,GoogleNet,0.011375025
fps_per_w,Reconfig_4_9_16_25_MAM,OverFeatFast,0.010041512
fps_per_w,Reconfig_4_9_16_25_MAM,ResNet34,0.005393871
fps_per_w,Reconfig_4_9_16_25_MAM,VGG16,0.000424391
